Station,S/N,"Street
街名","Street No.
街號","Building Name
大廈名稱","Building Type
樓宇類別","Final/Adjusted Risk Category
最終風險級數
(*remarks)"
TS,1,Tsuen Nam Road,15-35,Grandway Bloock 1-3,Domestic Building (住宅),
TS,2,TIN SAM TSUEN,,HOUSE NO. 247,Domestic Building (住宅),
TS,3,Hin Wo Lane,3,Hin Yiu Estate Hin Yiu House,Domestic Building (住宅),
TS,4,To Fung Shan Road,50,Lutheran Theological Seminary,Insitutional Building/Others (學校/醫院/其他用途),
TS,5,PIK TIN STREET,8,PARK VIEW GARDEN,Domestic Building (住宅),
TS,6,KENG HAU ROAD,12-20,Chlorination house,Domestic Building (住宅),
TS,7,MEI TIN ROAD,68,HOUSE 1 - PEAK HOUSE,Domestic Building (住宅),
TS,8,MEI TIN ROAD,68,HOUSE 10 - PEAK HOUSE,Domestic Building (住宅),
TS,9,MEI TIN ROAD,68,HOUSE 11 - PEAK HOUSE,Domestic Building (住宅),
TS,10,MEI TIN ROAD,68,HOUSE 12 - PEAK HOUSE,Domestic Building (住宅),
TS,11,MEI TIN ROAD,68,HOUSE 15 - PEAK HOUSE,Domestic Building (住宅),
TS,12,MEI TIN ROAD,68,HOUSE 16 - PEAK HOUSE,Domestic Building (住宅),
TS,13,MEI TIN ROAD,68,HOUSE 2 - PEAK HOUSE,Domestic Building (住宅),
TS,14,MEI TIN ROAD,68,HOUSE 3 - PEAK HOUSE,Domestic Building (住宅),
TS,15,MEI TIN ROAD,68,HOUSE 5 - PEAK HOUSE,Domestic Building (住宅),
TS,16,MEI TIN ROAD,68,HOUSE 6 - PEAK HOUSE,Domestic Building (住宅),
TS,17,MEI TIN ROAD,68,HOUSE 7 - PEAK HOUSE,Domestic Building (住宅),
TS,18,MEI TIN ROAD,68,HOUSE 8 - PEAK HOUSE,Domestic Building (住宅),
TS,19,MEI TIN ROAD,68,HOUSE 9 - PEAK HOUSE,Domestic Building (住宅),
TS,20,TIN SAM TSUEN,,HOUSE NO. 164,Domestic Building (住宅),
TS,21,TUNG LO WAN VILLAGE,,HOUSE 117,Domestic Building (住宅),
TS,22,CHIK FUK STREET/CHIK SAU LANE/TSUEN NAM ROAD,KAM FAI BUILDING 68 CHIK FUK STREET/1-3 CHIK SAU LANE/TSUEN NAM ROAD SHA TIN DISTRICT,KAM FAI BUILDING,Composite Building (綜合式樓宇),
TS,23,38 TAI WAI ROAD / 7-29 TAI WAI ROAD,38 TAI WAI ROAD / 7-29 TAI WAI ROAD,LUEN FAT BUILDING,Composite Building (綜合式樓宇),
TS,24,MAN LAI ROAD,43-49,MAN LAI COURT,Domestic Building (住宅),
TS,25,MEI TIN ROAD,30,MEI LAM ESTATE,Domestic Building (住宅),
TS,26,MEI TIN ROAD,25,MEI CHUNG COURT,Domestic Building (住宅),
TS,27,CHIK SHUN STREET,31-51,SHOPS - ON SHUN BUILDING,Composite Building (綜合式樓宇),
TS,28,TAI WAI VILLAGE,,"NO. 4A, 10TH STREET",Domestic Building (住宅),
TS,29,88 TAI WAI ROAD / 7-29 TAI WAI ROAD,88 TAI WAI ROAD / 7-29 TAI WAI ROAD,TAK ON BUILDING,Composite Building (綜合式樓宇),
TS,30,CHIK CHUEN STREET,1,PETROL FILLING STATION,Insitutional Building/Others (學校/醫院/其他用途),
TS,31,CHIK TAI LANE,1,GENERAL CHAMBER OF COMMERCE AND INDUSTRY OF THE TUNG KUN DISTRICT LAU PAK LOK SECONDARY SCHOOL,Insitutional Building/Others (學校/醫院/其他用途),
TS,32,CHUNG LING LANE,1,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS [SFH-MAIN],Insitutional Building/Others (學校/醫院/其他用途),
TS,33,HIN TIN ST,1,KA WAI HSE (BLK D),Domestic Building (住宅),
TS,34,LUNG PAK ST,1,WORLD-WIDE GARDENS COMMERCIAL COMPLEX,Commercial Building (商業大廈),
TS,35,MAN LAI RD,1,CALTEX TAI WAI FILLING STATION,Insitutional Building/Others (學校/醫院/其他用途),
TS,36,MAN LAM RD,1,HONG KONG HERITAGE MUSEUM,Insitutional Building/Others (學校/醫院/其他用途),
TS,37,SHING TIN ST,1,CHUN SHEK ESTATE - BUDDHIST BRIGHT PEARL PRIMARY SCHOOL,Insitutional Building/Others (學校/醫院/其他用途),
TS,38,SHING TIN ST,1,CHUN SHEK ESTATE - CHRISTIAN ALLIANCE H.C.CHAN PRIMARY SCHOOL,Insitutional Building/Others (學校/醫院/其他用途),
TS,39,SHING TIN ST,1,CHUN SHEK ESTATE - KWOK TAK SENG CATHOLIC SECONDARY SCHOOL,Insitutional Building/Others (學校/醫院/其他用途),
TS,40,SHING TIN ST,1,CHUN SHEK ESTATE - SHEK YING HOUSE,Domestic Building (住宅),
TS,41,TAI WAI NEW VILLAGE RD,1,PUI KIU COLLEGE,Insitutional Building/Others (學校/醫院/其他用途),
TS,42,TIN SAM ST,1,LUNG HANG ESTATE HOK SAM HSE,Domestic Building (住宅),
TS,43,TIN SAM ST,1,LOK SIN TONG YOUNG KO HSIAO LIN SECONDARY SCHOOL,Insitutional Building/Others (學校/醫院/其他用途),
TS,44,TIN SAM ST,1,LUNG HANG SHOPPING CENTRE,Commercial Building (商業大廈),
TS,45,TIN SAM ST,1,POK OI HOSPITAL CHAN KAI MEMORIAL COLLEGE,Insitutional Building/Others (學校/醫院/其他用途),
TS,46,TIN SAM ST,1,LUNG HANG ESTATE SIN SAM HSE,Domestic Building (住宅),
TS,47,TIN SAM ST,1,PO LEUNG KUK DR.JIMMY WONG CHI-HO (TIN SUM VALLEY)PRIMARY SCHOOL,Insitutional Building/Others (學校/醫院/其他用途),
TS,48,TIN SAM ST,1,LUNG HANG ESTATE WAI SAM HSE,Domestic Building (住宅),
TS,49,TIN SAM ST,1,LUNG HANG ESTATE WING SAM HSE,Domestic Building (住宅),
TS,50,TIN SAM ST,1,LUNG HANG ESTATE LOK SAM HSE,Domestic Building (住宅),
TS,51,TIN SAM ST,1,LUNG HANG ESTATE LUNG HANG ESTATE COMMUNITY CENTRE,Commercial Building (商業大廈),
TS,52,TIN SAM ST,1,PO LEUNG KUK C.W.CHU COLLEGE,Insitutional Building/Others (學校/醫院/其他用途),
TS,53,YAU ON ST,1,PO FOOK MEMORIAL HALL,Insitutional Building/Others (學校/醫院/其他用途),
TS,54,CHUI TIN ST,1/3,GREENVIEW GARDEN - BLOCK A,Domestic Building (住宅),
TS,55,CHUI TIN ST,1/3,GREENVIEW GARDEN - BLOCK B,Domestic Building (住宅),
TS,56,CHUI TIN ST,1/3,GREENVIEW GARDEN - BLOCK C,Domestic Building (住宅),
TS,57,KAK TIN ST,1/3,GOLDEN COMFORT COURT (BLK D),Domestic Building (住宅),
TS,58,KAK TIN ST,1/3,GOLDEN PEACE COURT (BLK C),Domestic Building (住宅),
TS,59,KAK TIN ST,1/3,GOLDEN CORONET COURT (BLK G),Domestic Building (住宅),
TS,60,KAK TIN ST,1/3,GOLDEN FORTUNE COURT (BLK E),Domestic Building (住宅),
TS,61,KAK TIN ST,1/3,GOLDEN FULLNESS COURT (BLK F),Domestic Building (住宅),
TS,62,KAK TIN ST,1/3,GOLDEN MASCOT COURT (BLK B),Domestic Building (住宅),
TS,63,KAK TIN ST,1/3,GOLDEN WEALTH COURT (BLK A),Domestic Building (住宅),
TS,64,SHA TIN HEIGHTS RD,1/3,GREENHEIGHT VILLA TOWER 1,Domestic Building (住宅),
TS,65,SHA TIN HEIGHTS RD,1/3,GREENHEIGHT VILLA TOWER 2,Domestic Building (住宅),
TS,66,CHIK FAI ST,1/5,GLAMOUR GARDEN,Composite Building (綜合式樓宇),
